short_new,long,shorts
Sillières 1995,"P. Sillières, M. Magallón Botaya and M. Navarros Caballero, “El Municipium Labitulosanum y sus notables novedades arqueológicas y epigráficas,” Archivo Español de Arqueología 68 (1995) 107-30.",Sillières 1995
Pontiroli 1985,"G. Pontiroli (ed.), Cremona Romana. Atti del congresso storico archeologico per il 2200° anno di fondazione di Cremona (Cremona, 30-31 maggio 1982), Cremona, 1985.",Pontiroli 1985
Horne 1980,"P.D. Horne and A.C. King, “Romano-Celtic temples in continental Europe: a gazetteer of those with known plans,” in W. Rodwell (ed.), Temples, churches and religion in Roman Britain, BAR British series 77, pp. 369-555, Oxford, 1980.",Horne 1980
Müller 1987,"D. Müller, Topographischer Bildkommentar zu den Historien Herodots: Griechenland im Umfang des heutigen griechischen Staatsgebiets, Tübingen, 1987.",Müller 1987
French 1992,"D.H. French, “Roads in Pisidia,” in E. Schwertheim (ed.), Forschungen in Pisidien, Asia Minor Studien 6, pp. 167-75, Bonn, 1992.",French 1992
Tomlin 1996,"R.S.O. Tomlin, “A five-acre wood in Roman Kent,” in J. Bird, M. Hassall and H. Sheldon (eds.), Interpreting Roman London: papers in honour of Hugh Chapman, pp. 209-15, Oxford, 1996.",Tomlin 1996
Koutecký 1979,"D. Koutecký and N. Venclová, “K problematice osídlení severozápadních čech v době laténské a římské. Sídliště Počerady I a II / Zur Problematik der Besiedlung des nordwestlichen Böhmens in der Latènezeit und römischen Kaiserzeit. Die Siedlung Počerady I und II,” Památky Archeologické 70 (1979) 42-112.",Koutecký 1979
Desaye 1996,"H. Desaye, “Topographie et monuments de Dea Augusta (Die),” Revue Drômoise 482 (1996) 171-98.",Desaye 1996
Clément 1991,"P.A. Clément and A. Peyre, La Voie Domitienne. De la Via Domitia aux routes de l’an 2000, Languedoc, 1991.",Clément 1991
Mitchell 1997,"S. Mitchell et al., “Panemoteichos and Ören Tepe,” AnatSt 47 (1997) 141-72.",Mitchell 1997
Mitchell 1990,"S. Mitchell, “Archaeology in Asia Minor 1985-89,” ArchRep 1989-90, 83-131.",Mitchell 1990
Mitchell 1991,"S. Mitchell, “Ariassos 1990,” AnatSt 41 (1991) 159-72.",Mitchell 1991
Mitchell 1992,"S. Mitchell, “Hellenismus in Pisidien,” in E. Schwertheim (ed.), Forschungen in Pisidien, Asia Minor Studien 6, pp. 1-27, Bonn, 1992.",Mitchell 1992
Mitchell 1993,"S. Mitchell, Anatolia: land, men and gods in Asia Minor, 2 vols., Oxford, 1993.",Mitchell 1993
Schwarz 1969,"P. Schwarz, Iran im Mittelalter nach den arabischen Geographen, New York, 1969.",Schwarz 1969
Modrijan 1962,"W. Modrijan, Das Aichfeld-Vom Steinbeil zur Poststation, Judenburger Museumsschriften 3, Judenburg, 1962.",Modrijan 1962
Raftery 1994,"B. Raftery, Pagan Celtic Ireland, London, 1994.",Raftery 1994
Masson 1991,"V.M. Masson (ed.), Drevniye kultury Prikuban'ya, Leningrad, 1991.",Masson 1991
Mahmoud 1988,"A. Mahmoud et al., “Die Ausgrabung auf dem Tell 'Ağāğa / Šadikanni 1982,” DM 3 (1988) 141-84.",Mahmoud 1988
Winfeld-Hansen 1990,"H.E. Winfeld-Hansen, “Un edificio sepolcrale tardo antico sulla via Appia e le origini dei martyria a croce con abside,” in S. Quilici Gigli (ed.), La via Appia, pp. 105-15, QuadAEI 18, 1990.",Winfeld-Hansen 1990
Bridger 1994,"C. Bridger, “Die römerzeitliche Besiedlung der Kempener Lahmplatte,” BJb 194 (1994) 61-164.",Bridger 1994
Sillières 1990,"P. Sillières, Les voies de communications de l'Hispanie méridionale, Paris, 1990.",Sillières 1990
TIR Emerita,"Tabula Imperii Romani J-29, Lisboa: Emerita-Scallabis-Pax Iulia-Gades, Madrid, 1995.",TIR Emerita
Machatschek 1981,"A. Machatschek and M. Schwarz, Bauforschungen in Selge, DenkWien 152, 1981.",Machatschek 1981
Bogaers 1955,"J.E. Bogaers, De Gallo-Romeinse tempels te Elst in de Over-Betuwe / The Romano-Celtic temples at Elst in the Over-Betuwe district, Nederlandse Oudheden 1, The Hague, 1955.",Bogaers 1955
Pleiner 1987,"R. Pleiner and V. Salač, “Eine eingetiefte Eisenverhüttungswerkstatt der älteren römischen Kaiserzeit in Lovosice, Nordböhmen,” ArchRoz 39 (1987) 75-89.",Pleiner 1987
Mingazzini 1931,"P. Mingazzini, “Positano. Resti di villa romana presso la Manica,” NSc (1931) 356-59.",Mingazzini 1931
Solana 1992,"J.M. Solana Sainz, “Los Turmogos: territorio y modo de vida,” Hispania Antiqua 16 (1992) 55-80.",Solana 1992
Kozak 1982,"D.N. Kozak, “Eine Bestattung aus dem ersten nachchristlichen Jahrhundert am Oberlauf des Dnjestr,” Germania 60 (1982) 533-45.",Kozak 1982
Alexander 1963,"J.A. Alexander, Potidaea: its history and remains, Athens, GA, 1963.",Alexander 1963
Lepelley 1981,"C. Lepelley, Les cités de l’Afrique romaine au Bas-Empire, 2 vols., Paris, 1981.",Lepelley 1981
Mason 1993,"H.J. Mason, “Mytilene and Methymna: quarrels, borders and topography,” EMC 37 (1993) 225-50.",Mason 1993
Wenke 1975,"R.J. Wenke, “Imperial investments and agricultural developments in Parthian and Sasanian Khuzestan: 150 B.C. to A.D. 640,” Mesopotamia 10-11 (1975-76) 31-221.",Wenke 1975
Broise 1974,"P. Broise, Genève et son territoire dans l’antiquité. De la conquête romaine à l’occupation burgonde, Latomus 129, Brussels, 1974.",Broise 1974
Stone 1992,"M. Stone (ed.), Rock inscriptions and graffiti project, 2 vols., Atlanta, 1992.",Stone 1992
Lepelley 1989,"C. Lepelley, “Trois documents méconnus sur l’histoire sociale et religieuse de l’Afrique romaine tardive retrouvés parmi les spuria de Sulpice Sévère,” AntAf 25 (1989) 235-62.",Lepelley 1989
Pringle 1981,"D. Pringle, The defence of Byzantine Africa from Justinian to the Arab conquest, 2 vols., BAR International series 99, Oxford, 1981.",Pringle 1981
Schatzmann 1934,"P. Schatzmann, “Das Charmyleion,” JDAI 49 (1934) 110-27.",Schatzmann 1934
Philemonos-Tsopotou 1984,"M. Philemonos-Tsopotou, “Νίσυρος,” ArchDelt 39B (1984) 329.",Philemonos-Tsopotou 1984
Mitchell 1994,"S. Mitchell, “Three cities in Pisidia,” AnatSt 44 (1994) 129-48.",Mitchell 1994
Euzennat 1994,"M. Euzennat, “Le Périple d’Hannon,” CRAI (1994) 559-79.",Euzennat 1994
Menotti 1989,"E. Menotti, “La pianura reatina: la cosidetta villa d’Assio alle Grotte di San Nicola, un esempio di uso del territorio in età romana,” Il territorio 5.1-2 (1989) 49-63.",Menotti 1989
Ward-Perkins 1953,"J.B. Ward-Perkins and R.G. Goodchild, “The Christian antiquities of Tripolitania,” Archaeologia 95 (1953) 1-83.",Ward-Perkins 1953
Arkwright 1895,"W. Arkwright, “The frontier of Lycia and Caria,” JHS 15 (1895) 93-99.",Arkwright 1895
Euzennat 1990,"M. Euzennat, “La frontière romaine d’Afrique,” CRAI (1990) 565-80.",Euzennat 1990
Kahane 1968,"A. Kahane, L.M. Threipland and J. Ward-Perkins, “The Ager Veientanus north and east of Rome,” PBSR 36 (1968) 1-213.",Kahane 1968
Di Vita 1966,"A. Di Vita, “La villa della ‘Gara delle Nereidi’ presso Tagiura,” LibAnt Suppl. 2 (1966) 11-64.",Di Vita 1966
Tozzi 1987,"P. Tozzi, Memoria della terra. Storia dell’uomo, Florence, 1987.",Tozzi 1987
Güngerich 1927,"R. Güngerich (ed.), Dionysii Byzantii Anaplus Bospori, 1927 (reprint, Berlin, 1958) .",Güngerich 1927
Chiostri 1975,"F. Chiostri, L’acquedotto romano di Firenze, Florence, 1975.",Chiostri 1975
Arakelian 1951,"B.N. Arakelian et al., Garni, I-V, Yerevan, 1951-76.",Arakelian 1951
McKenzie 1990,"J. McKenzie, The architecture of Petra, Oxford, 1990.",McKenzie 1990
Kennedy 1985,"D. Kennedy, “The compositition of a military work party in Roman Egypt (ILS 2483: Coptos),” JEA 71 (1985) 156-60.",Kennedy 1985
Koldewey 1890,"R. Koldewey, Die antiken Baureste der Insel Lesbos im Auftrage des kaiserlich deutschen archäologischen Instituts untersucht und aufgenommen, Berlin, 1890.",Koldewey 1890
Mohamedi 1991,"A. Mohamedi et al., Fouilles de Sétif (1977-1984), BAA suppl. 5, Algiers, 1991.",Mohamedi 1991
Ilakovac 1998,"B. Ilakovac, “Limitacija agera rimske Kise (Cissa) / Land division of the Roman ager at Cissa on the island of Pag,” VjesArhMuzZg 30-31 (1998) 69-82.",Ilakovac 1998
Lauxerois 1983,"R. Lauxerois, Le bas Vivarais à l’époque romaine. Recherches sur la cité d’Alba, RAN suppl. 9, Paris, 1983.",Lauxerois 1983
Mitard 1993,"P.H. Mitard, Le sanctuaire gallo-romain de Génainville, Centre de Recherches Archéologiques du Vexin Français, Guiry-en-Vexin, 1993.",Mitard 1993
Hammond 1988,"N.G.L. Hammond and F.W. Walbank, A history of Macedonia 3: 336-167 BC, Oxford, 1988.",Hammond 1988
Spors-Gröger 1991,"S. Spors-Gröger, “Frühalamannische Funde von Karben-Rendel, Wetteraukreis,” in V. Rupp (ed.), Archäologie in der Wetterau - Aspekte der Forschung, pp. 297-307, Friedberg, 1991.",Spors-Gröger 1991
Menghin 1985,"W. Menghin, Die Langobarden. Archäologie und Geschichte, Stuttgart, 1985.",Menghin 1985
Hallock 1969,"R.T. Hallock, Persepolis Fortification Tablets, Oriental Institute Publications 92, Chicago, 1969.",Hallock 1969
Solin 1993a,"H. Solin, “L’epigrafia dei villaggi del Cassinate ed Aquinate,” in A. Calbi et al. (eds.), L’epigrafia del villaggio, pp. 363-406, Faenza, 1993.",Solin 1993a
Novum Comum,"Novum Comum 2050. Atti del convegno celebrativo della fondazione di Como romana, Como, 1993.",Novum Comum
